Number,Passage,Question,OptionA,OptionB,OptionC,OptionD,Answer,Subject,QuestionType
12,"<p>When printing paper money for the colony of Pennsylvania in the 1730s, Benjamin Franklin&mdash;then a Philadelphia shop owner&mdash;took steps to combat the circulation of counterfeit notes, such as weaving blue threads and muscovite (a reflective mineral) into the paper he used. ______ he stamped the notes with detailed imprints of sage leaves that proved difficult for forgers to replicate.</p>",<p>Which choice completes the text with the most logical transition?</p>,"<p>Specifically,</p>","<p>That said,</p>","<p>For example,</p>","<p>Moreover,</p>",D,RW,multiple_choice
13,"<p>While researching a topic, a student has taken the following notes:</p> <ul> <li>The Atlantic Monthly magazine was first published in 1857.</li> <li>The magazine focused on politics, art, and literature.</li> <li>In 2019, historian Cathryn Halverson published the book Faraway Women and the &ldquo;Atlantic Monthly.&rdquo;</li> <li>Its subject is female authors whose autobiographies appeared in the magazine in the early 1900s.</li> <li>One of the authors discussed is Juanita Harrison.</li> </ul>",<p>The student wants to introduce Cathryn Halverson&rsquo;s book to an audience already familiar with the Atlantic Monthly. Which choice most effectively uses relevant information from the notes to accomplish this goal?</p>,<p>Cathryn Halverson&rsquo;s Faraway Women and the &ldquo;Atlantic Monthly&rdquo; discusses female authors whose autobiographies appeared in the magazine in the early 1900s.</p>,"<p>A magazine called the Atlantic Monthly, referred to in Cathryn Halverson&rsquo;s book title, was first published in 1857.</p>","<p>Faraway Women and the &ldquo;Atlantic Monthly&rdquo; features contributors to the Atlantic Monthly, first published in 1857 as a magazine focusing on politics, art, and literature.</p>","<p>An author discussed by Cathryn Halverson is Juanita Harrison, whose autobiography appeared in the Atlantic Monthly in the early 1900s.</p>",A,RW,multiple_choice
,,,,,,,,,
1,,"<p>\[<br>&nbsp; &nbsp; x(kx - 56) = -16<br>&nbsp; \] &nbsp;<br>&nbsp; In the given equation, \( k \) is an integer constant. If the equation has no real solution, what is the least possible value of \( k \)?</p>",,,,,50,Math,short_answer
2,,"<p>Function \(f\) is a quadratic function. The graph of \(y = f(x)\) in the \(xy\)-plane has a vertex at \((-5, -8)\), contains the point \((-6, -10)\), and has \(y\)-intercept at \((0, a)\). The graph of \(y = 6 \cdot f(x)\) has a \(y\)-intercept at \((0, b)\). What is the positive difference between \(a\) and \(b\)?</p>",,,,,290,Math,short_answer
3,,"<p>The equation&nbsp;<br>&nbsp; \[<br>&nbsp; &nbsp; Q(t) = 200 \cdot S^{\tfrac{t}{20}}<br>&nbsp; \]<br>&nbsp; gives the predicted number of viewers \(Q(t)\), in tens, at a film screening \(t\) minutes after the movie started, where \(S\) is a constant greater than 1. The predicted number of viewers increases by \(h\%\) every 1 hour. What is the value of \(h\) in terms of \(S\)?</p>",<p>&nbsp;\(100(S - 1)\) &lt;br&gt;</p>,<p>&nbsp;\(100(S^3 - 1)\) &lt;br&gt;</p>,<p>&nbsp;\(60(S - 1)\) &lt;br&gt;</p>,<p>&nbsp;\(100(S^{\tfrac{1}{3}} - 1)\)</p>,B,Math,multiple_choice
4,,<p>A circle has the equation \(x^2 + y^2 = 25\). A line has the equation \(y = mx + 10\). For what value(s) of \(m\) does the line intersect the circle at exactly one point?</p>,<p>&nbsp;\(m=\sqrt{3}\) only</p>,<p>&nbsp;\(m=-\sqrt{3}\) only</p>,<p>&nbsp;\(m = &plusmn;\sqrt{3}\)</p>,<p>&nbsp;\(m = &plusmn;\frac{4}{3}\)</p>,C,Math,multiple_choice
5,"The scatterplot shows the relationship between two variables, $x$ and $y$.<img src=""images/1756445409032-856829132-mceclip0.png"">",Which of the following equations is the most appropriate linear model for the data shown?,&nbsp;\(y = 80 - x\),&nbsp;\(y = 80 - 0.1x\),&nbsp;\(y = 90 - 0.1x\),&nbsp;\(y = 90 - 10x\),D,Math,multiple_choice
6,,"<p>\[<br>&nbsp; &nbsp; \tfrac{1}{2}y = 2x + 1\] &nbsp;<br>&nbsp; \[y - a = a^2x&nbsp;\] &nbsp;<br>&nbsp; In the given system of equations above, \(a\) is a constant. If the system has no solutions, what is the value of \(a\)?</p>",<p>&nbsp;\(-2\)</p>,<p>&nbsp;\(-1\)</p>,<p>&nbsp;\(2\)</p>,<p>&nbsp;\(4\)</p>,A,Math,multiple_choice
7,"<p>The table summarizes the distribution of age and assigned group for 90 participants in a study.</p> <table style=""border-collapse: collapse; width: 100.037%;"" border=""1""><colgroup><col style=""width: 19.9382%;""><col style=""width: 19.9382%;""><col style=""width: 19.9382%;""><col style=""width: 19.9382%;""><col style=""width: 19.9382%;""></colgroup> <tbody> <tr> <td style=""text-align: center;"">&nbsp;</td> <td style=""text-align: center;"">0-9 years</td> <td style=""text-align: center;"">10-19 years</td> <td style=""text-align: center;"">20+ years</td> <td style=""text-align: center;"">Total</td> </tr> <tr> <td style=""text-align: center;"">Group A</td> <td style=""text-align: center;"">7</td> <td style=""text-align: center;"">14</td> <td style=""text-align: center;"">9</td> <td style=""text-align: center;"">30</td> </tr> <tr> <td style=""text-align: center;"">Group B</td> <td style=""text-align: center;"">6</td> <td style=""text-align: center;"">4</td> <td style=""text-align: center;"">20</td> <td style=""text-align: center;"">30</td> </tr> <tr> <td style=""text-align: center;"">Group C</td> <td style=""text-align: center;"">17</td> <td style=""text-align: center;"">12</td> <td style=""text-align: center;"">1</td> <td style=""text-align: center;"">30</td> </tr> <tr> <td style=""text-align: center;"">Total</td> <td style=""text-align: center;"">30</td> <td style=""text-align: center;"">30</td> <td style=""text-align: center;"">30</td> <td style=""text-align: center;"">90</td> </tr> </tbody> </table> <p>&nbsp;</p>","<p>One of these participants will be selected at random. What is the probability of selecting a participant from group A, given that the participant is at least 10 years of age? (Express your answer as a decimal or fraction, not as a percent.)</p>",,,,,23/60|0.3833,Math,short_answer
8,"<table style=""border-collapse: collapse; width: 100.037%;"" border=""1""><colgroup><col style=""width: 49.9227%;""><col style=""width: 49.9227%;""></colgroup> <tbody> <tr> <td style=""text-align: center;""><strong>Weight (pounds)</strong></td> <td style=""text-align: center;""><strong>Frequency</strong></td> </tr> <tr> <td style=""text-align: center;"">13</td> <td style=""text-align: center;"">12</td> </tr> <tr> <td style=""text-align: center;"">14</td> <td style=""text-align: center;"">8</td> </tr> <tr> <td style=""text-align: center;"">15</td> <td style=""text-align: center;"">5</td> </tr> <tr> <td style=""text-align: center;"">16</td> <td style=""text-align: center;"">7</td> </tr> <tr> <td style=""text-align: center;"">17</td> <td style=""text-align: center;"">9</td> </tr> <tr> <td style=""text-align: center;"">18</td> <td style=""text-align: center;"">10</td> </tr> <tr> <td style=""text-align: center;"">19</td> <td style=""text-align: center;"">13</td> </tr> <tr> <td style=""text-align: center;"">20</td> <td style=""text-align: center;"">7</td> </tr> </tbody> </table> <p>&nbsp;</p>","<p>The frequency table summarizes a data set of the weights, rounded to the nearest pound, of 71 tortoises. A weight of 39 pounds is added to the original data set, creating a new data set of the weights, rounded to the nearest pound, of 72 tortoises. Which statement best compares the mean and median of the new data set to the mean and median of the original data set?</p>","<p>The mean of the new data set is greater than the mean of the original data set, and the median of the new data set is greater than the median of the original data set.</p>","<p>The mean of the new data set is greater than the mean of the original data set, and the medians of the two data sets are equal.</p>","<p>The mean of the new data set is less than the mean of the original data set, and the median of the new data set is less than the median of the original data set.</p>","<p>The mean of the new data set is less than the mean of the original data set, and the medians of the two data sets are equal.</p>",B,Math,multiple_choice
9,,"<p>An isosceles right triangle has a perimeter of \(94 + 94\sqrt{2}\) inches. What is the length, in inches, of one leg of this triangle?</p>",<p>&nbsp;\(47\)</p>,<p>&nbsp;\(47\sqrt{2}\)</p>,<p>&nbsp;\(94\)</p>,<p>&nbsp;\(94\sqrt{2}\)</p>,B,Math,multiple_choice
10,,<p>The perimeter of an equilateral triangle is \(852\) centimeters. The three vertices of the triangle lie on a circle. The radius of the circle is \(w\sqrt{3}\) centimeters. What is the value of \(w\)?</p>,,,,,284/3,Math,short_answer
11,,"<p>&nbsp;A square map has a side length of \(55\) inches, and \(1\) inch on the map represents an actual distance of \(13\) miles. A larger version of the same map is printed as a square with the side length \(90\%\) longer than the side length of the previous map. On the larger map, which of the following is closest to the actual distance, in miles, represented by \(1\) inch?</p>",<p>30</p>,<p>6.84</p>,<p>24.70</p>,<p>49.50</p>,B,Math,multiple_choice
12,,"<p>The function \( f \) is defined by the given equation, where \(a\) and \(b\) are integer constants. If \(f(32) &gt; 0\), \(f(35) &lt; 0\), and \(f(38) &gt; 0\), which of the following could be the value of \(a+b\)?<br>&lt;/div&gt;</p>",<p>63</p>,<p>65</p>,<p>67</p>,<p>69</p>,D,Math,multiple_choice

7,"<img src=""images/1756446451926-150348043-mceclip0.png""><br><br>The population of the coral Lophelia pertusa declined significantly around 9,000 years ago in the Alboran Sea and around 11,000 years ago near the Mauritanian coast. Using the ratio of manganese to calcium, which inversely correlates with ocean oxygenation levels, marine scientist Rodrigo da Costa Portilho-Ramos and colleagues evaluated whether oxygenation played a role in the declines of L. pertusa. The researchers concluded that oxygenation may have been important in the Alboran Sea but not near the Mauritanian coast, since ______",Which choice most effectively uses data from the graph to complete the statement?,"a substantial increase in oxygenation in the Alboran Sea corresponded with the local decline in L. pertusa, but the opposite relationship between oxygenation and L. pertusa was found near the Mauritanian coast.","L. pertusa declined in the Alboran Sea during a period of substantial local decline in oxygenation, but L. pertusa declined near the Mauritanian coast during a period of little local change in oxygenation.","oxygenation in the Alboran Sea was higher before the decline in L. pertusa than after the decline, whereas oxygenation near the Mauritanian coast was relatively low both before and after the decline in L. pertusa.",oxygenation in the Alboran Sea tended to be substantially higher than oxygenation near the Mauritanian coast during the period studied.,B,RW,multiple_choice
